iter	Passed	Remaining
890	31293	3828
891	31306	3790
892	31320	3752
893	31334	3715
894	31347	3677
895	31361	3640
896	31374	3602
897	31386	3565
898	31399	3527
899	31412	3490
900	31426	3453
901	31440	3415
902	31454	3378
903	31468	3341
904	31483	3304
905	31497	3267
906	31510	3230
907	31522	3193
908	31535	3157
909	31548	3120
910	31562	3083
911	31575	3046
912	31588	3010
913	31601	2973
914	31614	2936
915	31628	2900
916	31641	2863
917	31653	2827
918	31667	2791
919	31680	2754
920	31693	2718
921	31706	2682
922	31719	2646
923	31731	2609
924	31744	2573
925	31758	2537
926	31770	2501
927	31783	2465
928	31796	2430
929	31809	2394
930	31822	2358
931	31846	2323
932	31865	2288
933	31880	2252
934	31893	2217
935	31906	2181
936	31919	2146
937	31935	2110
938	31953	2075
939	31968	2040
940	31981	2005
941	31994	1969
942	32007	1934
943	32021	1899
944	32034	1864
945	32047	1829
946	32060	1794
947	32073	1759
948	32086	1724
949	32099	1689
950	32112	1654
951	32124	1619
952	32137	1584
953	32150	1550
954	32163	1515
955	32177	1480
956	32190	1446
957	32203	1411
958	32216	1377
959	32230	1342
960	32243	1308
961	32256	1274
962	32270	1239
963	32283	1205
964	32294	1171
965	32307	1137
966	32320	1102
967	32332	1068
968	32346	1034
969	32358	1000
970	32372	966
971	32385	932
972	32398	899
973	32412	865
974	32425	831
975	32439	797
976	32453	763
977	32465	730
978	32478	696
979	32493	663
980	32507	629
981	32520	596
982	32535	562
983	32550	529
984	32565	495
985	32579	462
986	32591	429
987	32606	396
988	32621	362
989	32634	329
990	32647	296
991	32660	263
992	32674	230
993	32688	197
994	32701	164
995	32714	131
996	32727	98
997	32741	65
998	32753	32
999	32767	0
50894	307
994	50915	255
995	50941	204
996	50960	153
997	50980	102
998	51001	51
999	51020	0
12	459
993	65246	393
994	65279	328
995	65311	262
996	65341	196
997	65371	131
998	65401	65
999	65429	0
